Title,Link
Whitepaper,https://installers.sandbox.game/The_Sandbox_Whitepaper_2020.pdf
One-Pager,https://installers.sandbox.game/The_Sandbox_One_Pager_2020.pdf
The Sandbox Raises $93M Led By SoftBank,https://forkast.news/the-sandbox-nft-metaverse-platform-series-b
Etherscan,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
Arthur Madrid (CEO),https://twitter.com/arthurmadrid
Blockchain Game Alliance,https://www.blockchaingamealliance.org
Sebastien Borget (COO),https://twitter.com/borgetsebastien
Lucas Shrewsbury (CTO),https://twitter.com/lucasshrew
Pablo Iglesias (Inventor),https://ar.linkedin.com/in/paiglesias
Ed Fries (Advisor),https://twitter.com/Ed_Fries
Yat Siu (Advisor),https://twitter.com/ysiu
Alexis Bonte (Advisor),https://twitter.com/alexisbonte
Animoca Brands (Investor),https://www.animocabrands.com
Binance And Animoca Brands Set Up $200M Program For Gaming Projects,https://www.animocabrands.com/bsc-and-animoca-brands-set-up-200m-investment-program-for-blockchain-gaming-project
CoinGecko (Play-To-Earn Games),https://www.coingecko.com/en/categories/play-to-earn
Axie Infinity (Competitor),https://axieinfinity.com
Decentraland (Competitor),https://decentraland.org
Gala Games (Competitor),https://app.gala.games
UFO Gaming (Competitor),https://ufogaming.io
Minecraft (Legacy Competitor),https://www.minecraft.net
Roblox (Legacy Competitor),https://www.roblox.com
OpenSea (The Sandbox),https://opensea.io/collection/sandbox?search[query]=land
Smart Contracts (The Sandbox),https://github.com/thesandboxgame/sandbox-smart-contracts
Global Gaming Market Report,https://www.mordorintelligence.com/industry-reports/global-gaming-market
You’re Not Decentralized If You’re Relying On Amazon Or Microsoft For Hosting,https://medium.com/crypto/youre-not-decentralized-if-you-re-relying-on-amazon-or-microsoft-for-hosting-4f0c74471b17
Audited Smart Contracts (The Sandbox),https://www.certik.com/projects/sandbox.game